,A,B,C,D,E,F,G,H,I,J,K,U
0,0 days 00:00:00.000000000,318,557,471,565,10328,38665,56634,60933,59781,39069,2
1,0 days 00:00:01.000000000,381,466,491,246,6198,29128,4016,10027,10298,29423,3
2,0 days 00:00:02.000000000,353,590,548,314,51406,38054,24820,48678,62602,52987,2
3,0 days 00:00:03.000000000,551,553,242,258,4229,26612,22193,35514,16573,32841,9
4,0 days 00:00:04.000000000,220,435,247,485,62123,13213,27398,19004,38862,15588,4
5,0 days 00:00:05.000000000,380,571,325,483,23610,59289,23649,417,51558,35289,5
6,0 days 00:00:06.000000000,320,493,309,475,2839,23214,23049,4972,24991,45318,4
7,0 days 00:00:07.000000000,496,401,417,273,29309,59657,54636,18455,4928,13326,2
8,0 days 00:00:08.000000000,471,218,345,473,5941,15602,23732,28262,26701,12361,4
9,0 days 00:00:09.000000000,375,425,519,406,27387,64870,44863,64038,65442,11818,1
10,0 days 00:00:10.000000000,460,332,401,250,59802,53949,52198,29904,7184,10439,0
11,0 days 00:00:11.000000000,325,459,332,200,19543,62993,51266,54294,49719,51784,9
12,0 days 00:00:12.000000000,478,379,262,433,61695,21249,64268,3096,59010,40658,1
13,0 days 00:00:13.000000000,246,239,270,382,11961,9730,19887,45106,56893,11280,8
14,0 days 00:00:14.000000000,424,282,582,312,64483,3785,63914,19227,9039,21347,6
15,0 days 00:00:15.000000000,447,454,551,450,3909,28872,36304,31686,48128,36635,6
16,0 days 00:00:16.000000000,459,419,209,505,22100,50589,4133,57964,40822,36754,0
17,0 days 00:00:17.000000000,276,323,510,453,2094,43772,62704,8262,34811,23800,8
18,0 days 00:00:18.000000000,316,486,575,588,35666,12646,5269,33966,32503,598,6
19,0 days 00:00:19.000000000,567,373,421,481,63598,24276,17724,45423,15725,7699,2
20,0 days 00:00:20.000000000,468,408,367,221,11691,7101,63433,49303,41120,50040,0
21,0 days 00:00:21.000000000,485,587,271,221,25153,10250,30570,26669,13130,577,3
22,0 days 00:00:22.000000000,235,215,339,309,43556,16549,27323,51288,46790,57078,3
23,0 days 00:00:23.000000000,283,501,496,304,7959,10517,26665,63991,5401,59677,7
24,0 days 00:00:24.000000000,270,374,277,556,48933,58839,2719,10842,57693,39816,0
25,0 days 00:00:25.000000000,432,560,275,287,38079,19126,17404,32832,23256,5371,1
26,0 days 00:00:26.000000000,594,200,400,406,31056,50631,22157,33149,51591,7140,9
27,0 days 00:00:27.000000000,536,519,560,443,2732,51644,32801,53862,32863,36095,3
28,0 days 00:00:28.000000000,348,481,219,553,32019,56806,13037,32932,12726,65221,1
29,0 days 00:00:29.000000000,214,570,225,492,41040,13864,21882,19297,4892,20510,8
30,0 days 00:00:30.000000000,568,461,457,216,32078,39544,49873,46113,59354,57507,7
31,0 days 00:00:31.000000000,408,467,417,574,29573,29924,1622,26388,56267,63380,9
32,0 days 00:00:32.000000000,510,210,451,452,6285,28475,64622,45066,48670,41018,7
33,0 days 00:00:33.000000000,430,246,559,360,7626,27377,27051,12685,38442,54742,3
34,0 days 00:00:34.000000000,388,428,374,479,44677,62060,17085,26327,30165,19668,0
35,0 days 00:00:35.000000000,388,368,518,442,47196,39548,6565,39776,61004,50482,3
36,0 days 00:00:36.000000000,510,512,340,573,47599,2782,36686,27793,43727,3590,4
37,0 days 00:00:37.000000000,255,323,230,565,19745,63534,46266,33788,61543,62990,8
38,0 days 00:00:38.000000000,464,511,344,519,43314,5199,42054,48107,25591,40158,2
39,0 days 00:00:39.000000000,315,517,595,487,27021,62095,58937,17296,60389,7592,1
40,0 days 00:00:40.000000000,442,312,588,481,47220,19561,30883,59393,54670,55964,9
41,0 days 00:00:41.000000000,482,294,356,264,45131,9847,62792,17940,29764,63375,2
42,0 days 00:00:42.000000000,330,318,424,296,5054,63101,41515,50297,8310,14384,9
43,0 days 00:00:43.000000000,376,366,340,284,62161,49980,29605,52122,63326,7467,2
44,0 days 00:00:44.000000000,282,362,464,258,44068,58008,6193,62163,27622,61908,6
45,0 days 00:00:45.000000000,328,425,300,346,14093,36745,37418,64212,4667,53300,4
46,0 days 00:00:46.000000000,303,458,263,274,12494,2225,49609,32314,24873,50346,7
47,0 days 00:00:47.000000000,403,542,486,530,11031,27285,10281,63455,55203,55952,5
48,0 days 00:00:48.000000000,237,391,319,496,5581,42742,47094,32297,5766,6829,9
49,0 days 00:00:49.000000000,388,279,575,497,55255,61227,32973,62152,46871,57082,6
50,0 days 00:00:50.000000000,442,499,331,345,59603,64925,42973,48353,50288,57809,4
51,0 days 00:00:51.000000000,525,207,580,461,19450,13284,26065,25256,20358,20832,3
52,0 days 00:00:52.000000000,549,329,296,505,7708,32455,24428,39910,37315,26108,4
53,0 days 00:00:53.000000000,535,456,489,589,42753,55891,35716,13101,1976,28441,9
54,0 days 00:00:54.000000000,539,589,354,324,28177,23485,59006,46136,38041,1115,0
55,0 days 00:00:55.000000000,464,250,433,562,46366,46161,40097,38635,38396,35157,6
56,0 days 00:00:56.000000000,423,290,236,201,49885,15888,33393,31484,1821,12732,3
57,0 days 00:00:57.000000000,363,299,465,245,29263,7230,25650,44824,2638,7332,6
58,0 days 00:00:58.000000000,257,597,496,234,17913,16609,24799,42640,58881,836,3
59,0 days 00:00:59.000000000,424,359,331,456,47998,65291,32478,54751,28913,50339,1
60,0 days 00:01:00.000000000,519,526,554,372,45799,16846,14334,62829,29956,2997,0
61,0 days 00:01:01.000000000,598,361,306,460,11538,3608,54163,47568,44013,25109,1
62,0 days 00:01:02.000000000,469,409,269,287,42482,27875,4339,65005,54957,34718,1
63,0 days 00:01:03.000000000,430,472,327,326,17837,12040,59373,53476,44307,46329,8
64,0 days 00:01:04.000000000,298,591,583,401,53634,9503,5397,56571,12857,2731,5
65,0 days 00:01:05.000000000,588,468,381,279,16100,53917,34831,34621,47457,61344,0
66,0 days 00:01:06.000000000,307,590,594,423,47687,46086,24965,62617,14202,60743,1
